Project,Iteration,Classifier,FeatureSelection,Sampling,CostSensitive,Precision,Recall,AUC,Kappa,F1-Score,MCC
BOOKKEEPER,2,NaiveBayes,BestFirst (backward),SMOTE,none,0.145,0.405,0.685,0.152,0.213,0.176
BOOKKEEPER,3,NaiveBayes,BestFirst (backward),SMOTE,none,0.147,0.410,0.691,0.155,0.217,0.180
BOOKKEEPER,4,NaiveBayes,BestFirst (backward),SMOTE,none,0.145,0.407,0.687,0.152,0.214,0.177
BOOKKEEPER,5,NaiveBayes,BestFirst (backward),SMOTE,none,0.146,0.410,0.691,0.153,0.215,0.179
BOOKKEEPER,6,NaiveBayes,BestFirst (backward),SMOTE,none,0.146,0.409,0.695,0.154,0.215,0.179
BOOKKEEPER,7,NaiveBayes,BestFirst (backward),SMOTE,none,0.144,0.406,0.694,0.150,0.212,0.175
BOOKKEEPER,8,NaiveBayes,BestFirst (backward),SMOTE,none,0.146,0.413,0.687,0.155,0.216,0.180
BOOKKEEPER,9,NaiveBayes,BestFirst (backward),SMOTE,none,0.142,0.398,0.693,0.147,0.209,0.171
BOOKKEEPER,10,NaiveBayes,BestFirst (backward),SMOTE,none,0.144,0.407,0.692,0.151,0.213,0.176
BOOKKEEPER,1,IBk,BestFirst (backward),SMOTE,none,0.196,0.265,0.617,0.178,0.225,0.181
BOOKKEEPER,2,IBk,BestFirst (backward),SMOTE,none,0.200,0.267,0.622,0.183,0.229,0.185
BOOKKEEPER,3,IBk,BestFirst (backward),SMOTE,none,0.200,0.262,0.615,0.181,0.227,0.183
BOOKKEEPER,4,IBk,BestFirst (backward),SMOTE,none,0.205,0.265,0.620,0.186,0.231,0.187
BOOKKEEPER,5,IBk,BestFirst (backward),SMOTE,none,0.195,0.263,0.620,0.177,0.224,0.179
BOOKKEEPER,6,IBk,BestFirst (backward),SMOTE,none,0.202,0.274,0.625,0.187,0.233,0.189
BOOKKEEPER,7,IBk,BestFirst (backward),SMOTE,none,0.194,0.254,0.614,0.174,0.220,0.176
BOOKKEEPER,8,IBk,BestFirst (backward),SMOTE,none,0.204,0.270,0.624,0.187,0.233,0.189
BOOKKEEPER,9,IBk,BestFirst (backward),SMOTE,none,0.203,0.270,0.621,0.186,0.232,0.188
