MethodFullyQualifiedName,ReleaseID,LOC,NumParameters,NumBranches,NestingDepth,NumCodeSmells,NumLocalVariables,NumRevisions,NumAuthors,TotalStmtAdded,TotalStmtDeleted,MaxChurn,AvgChurn,HasFixHistory,IsBuggy
"client/old_console/src/main/java/org/apache/syncope/client/console/pages/Schema.java/getColumns(WebMarkupContainer, ModalWindow, AttributableType, SchemaType, Collection)",27,72,5,8,5,2,16,1,1,72,0,72,72.0000,0,no
"core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/validation/entity/PolicyValidator.java/isValid(Policy, ConstraintValidatorContext)",24,6,2,4,3,1,1,1,1,6,0,6,6.0000,0,no
"core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/validation/entity/PolicyValidator.java/isValid(Policy, ConstraintValidatorContext)",25,6,2,4,3,1,1,1,1,6,0,6,6.0000,0,no
core/src/main/java/org/apache/syncope/core/security/EncodePasswordCLI.java/main(String[]),4,9,1,2,1,1,0,1,1,9,0,9,9.0000,0,no
core/src/main/java/org/apache/syncope/core/security/EncodePasswordCLI.java/main(String[]),5,9,1,2,1,1,0,2,2,9,0,9,4.5000,0,no
core/src/main/java/org/apache/syncope/core/security/EncodePasswordCLI.java/main(String[]),6,9,1,2,1,1,0,2,2,9,0,9,4.5000,0,no
core/src/main/java/org/apache/syncope/core/security/EncodePasswordCLI.java/main(String[]),7,9,1,2,1,1,0,3,2,9,0,9,3.0000,0,no
core/src/main/java/org/apache/syncope/core/security/EncodePasswordCLI.java/main(String[]),8,9,1,2,1,1,0,3,2,9,0,9,3.0000,0,no
core/src/main/java/org/apache/syncope/core/security/EncodePasswordCLI.java/main(String[]),9,9,1,2,1,1,0,4,2,18,0,9,4.5000,0,no
"core/src/main/java/org/apache/syncope/core/rest/controller/TaskController.java/report(Long, PropagationTaskExecStatus, String)",26,26,3,10,2,1,4,7,2,62,8,31,10.0000,0,no
"core/src/main/java/org/apache/syncope/core/rest/controller/TaskController.java/report(Long, PropagationTaskExecStatus, String)",20,26,3,10,2,1,4,7,2,62,8,31,10.0000,0,no
"core/src/main/java/org/apache/syncope/core/rest/controller/TaskController.java/report(Long, PropagationTaskExecStatus, String)",21,26,3,10,2,1,4,7,2,62,8,31,10.0000,0,no
"core/src/main/java/org/apache/syncope/core/rest/controller/TaskController.java/report(Long, PropagationTaskExecStatus, String)",22,26,3,10,2,1,4,7,2,62,8,31,10.0000,0,no
"core/src/main/java/org/apache/syncope/core/rest/controller/TaskController.java/report(Long, PropagationTaskExecStatus, String)",23,26,3,10,2,1,4,7,2,62,8,31,10.0000,0,no
"core/src/main/java/org/apache/syncope/core/rest/controller/TaskController.java/report(Long, PropagationTaskExecStatus, String)",13,31,3,10,2,1,5,2,1,62,0,31,31.0000,0,no
"core/src/main/java/org/apache/syncope/core/rest/controller/TaskController.java/report(Long, PropagationTaskExecStatus, String)",14,31,3,10,2,1,5,4,1,62,0,31,15.5000,0,no
"client/old_console/src/main/java/org/apache/syncope/client/console/wicket/markup/html/form/ActionLinksPanel.java/addWithRoles(ActionLink, ActionLink.ActionType, String, boolean)",27,241,4,28,1,2,27,1,1,241,0,241,241.0000,0,no
"core/src/main/java/org/apache/syncope/core/rest/controller/TaskController.java/report(Long, PropagationTaskExecStatus, String)",15,28,3,10,2,1,5,7,2,62,8,31,10.0000,0,no
"core/src/main/java/org/apache/syncope/core/rest/controller/TaskController.java/report(Long, PropagationTaskExecStatus, String)",16,28,3,10,2,1,5,7,2,62,8,31,10.0000,0,no
"core/src/main/java/org/apache/syncope/core/rest/controller/TaskController.java/report(Long, PropagationTaskExecStatus, String)",10,31,3,10,2,1,5,2,1,62,0,31,31.0000,0,no
"core/src/main/java/org/apache/syncope/core/rest/controller/TaskController.java/report(Long, PropagationTaskExecStatus, String)",11,31,3,10,2,1,5,2,1,62,0,31,31.0000,0,no
"core/src/main/java/org/apache/syncope/core/rest/controller/TaskController.java/report(Long, PropagationTaskExecStatus, String)",12,31,3,10,2,1,5,2,1,62,0,31,31.0000,0,no
"client/old_console/src/main/java/org/apache/syncope/client/console/wicket/markup/html/form/ActionLinksPanel.java/addWithRoles(ActionLink, ActionLink.ActionType, String, boolean)",25,241,4,28,1,2,27,1,1,241,0,241,241.0000,0,no
"core/src/main/java/org/apache/syncope/core/rest/controller/TaskController.java/report(Long, PropagationTaskExecStatus, String)",17,28,3,10,2,1,5,7,2,62,8,31,10.0000,0,no
"core/src/main/java/org/apache/syncope/core/rest/controller/TaskController.java/report(Long, PropagationTaskExecStatus, String)",18,28,3,10,2,1,5,7,2,62,8,31,10.0000,0,no
"core/src/main/java/org/apache/syncope/core/rest/controller/TaskController.java/report(Long, PropagationTaskExecStatus, String)",19,26,3,10,2,1,4,7,2,62,8,31,10.0000,0,no
core/src/main/java/org/apache/syncope/core/security/EncodePasswordCLI.java/main(String[]),3,9,1,2,1,1,0,1,1,9,0,9,9.0000,0,no
core/src/main/java/org/apache/syncope/core/util/AttributableUtil.java/getInstance(AbstractAttributable),20,12,1,5,1,1,1,4,1,32,0,10,8.0000,0,no
core/src/main/java/org/apache/syncope/core/util/AttributableUtil.java/getInstance(AbstractAttributable),21,12,1,5,1,1,1,4,1,32,0,10,8.0000,0,no
core/src/main/java/org/apache/syncope/core/util/AttributableUtil.java/getInstance(AbstractAttributable),22,12,1,5,1,1,1,4,1,32,0,10,8.0000,0,no
core/src/main/java/org/apache/syncope/core/util/AttributableUtil.java/getInstance(AbstractAttributable),23,12,1,5,1,1,1,4,1,32,0,10,8.0000,0,no
core/src/main/java/org/apache/syncope/core/util/AttributableUtil.java/getInstance(AbstractAttributable),26,12,1,5,1,1,1,4,1,32,0,10,8.0000,0,no
client/old_console/src/main/java/org/apache/syncope/client/console/panels/PushTasksPanel.java/getColumns(),25,76,0,4,2,1,11,1,1,76,0,76,76.0000,0,no
client/old_console/src/main/java/org/apache/syncope/client/console/panels/PushTasksPanel.java/getColumns(),27,76,0,4,2,1,11,1,1,76,0,76,76.0000,0,no
core/src/main/java/org/apache/syncope/core/util/AttributableUtil.java/getInstance(AbstractAttributable),10,10,1,4,1,1,1,3,1,30,0,10,10.0000,0,no
core/src/main/java/org/apache/syncope/core/util/AttributableUtil.java/getInstance(AbstractAttributable),11,10,1,4,1,1,1,3,1,30,0,10,10.0000,0,no
core/src/main/java/org/apache/syncope/core/util/AttributableUtil.java/getInstance(AbstractAttributable),12,10,1,4,1,1,1,3,1,30,0,10,10.0000,0,no
core/src/main/java/org/apache/syncope/core/util/AttributableUtil.java/getInstance(AbstractAttributable),13,10,1,4,1,1,1,3,1,30,0,10,10.0000,0,no
core/src/main/java/org/apache/syncope/core/util/AttributableUtil.java/getInstance(AbstractAttributable),14,10,1,4,1,1,1,3,1,30,0,10,10.0000,0,no
core/src/main/java/org/apache/syncope/core/util/AttributableUtil.java/getInstance(AbstractAttributable),15,10,1,4,1,1,1,3,1,30,0,10,10.0000,0,no
core/src/main/java/org/apache/syncope/core/util/AttributableUtil.java/getInstance(AbstractAttributable),16,10,1,4,1,1,1,3,1,30,0,10,10.0000,0,no
core/src/main/java/org/apache/syncope/core/util/AttributableUtil.java/getInstance(AbstractAttributable),17,10,1,4,1,1,1,3,1,30,0,10,10.0000,0,no
core/src/main/java/org/apache/syncope/core/util/AttributableUtil.java/getInstance(AbstractAttributable),18,10,1,4,1,1,1,3,1,30,0,10,10.0000,0,no
core/src/main/java/org/apache/syncope/core/util/AttributableUtil.java/getInstance(AbstractAttributable),19,12,1,5,1,1,1,4,1,32,0,10,8.0000,0,no
"core/logic/src/main/java/org/apache/syncope/core/logic/UserLogic.java/search(SearchCond, int, int, List, String, boolean)",28,6,6,0,0,1,1,1,1,6,0,6,6.0000,0,no
"core/logic/src/main/java/org/apache/syncope/core/logic/UserLogic.java/search(SearchCond, int, int, List, String, boolean)",29,6,6,0,0,1,1,1,1,6,0,6,6.0000,0,no
