key,creationDate,resolutionDate,injectedVersion,openingVersion,fixedVersion,affectedVersion,numOfCommits
BOOKKEEPER-207,2012-04-02,2012-04-03,4.0.0,4.1.0,4.1.0,4.0.0,1
BOOKKEEPER-212,2012-04-06,2012-04-09,4.0.0,4.1.0,4.1.0,4.0.0,1
BOOKKEEPER-211,2012-04-06,2012-04-10,4.0.0,4.1.0,4.1.0,4.0.0,1
BOOKKEEPER-213,2012-04-06,2012-04-19,4.0.0,4.1.0,4.1.0,4.0.0,1
BOOKKEEPER-235,2012-05-03,2012-05-09,4.0.0,4.1.0,4.1.0,4.0.0,1
BOOKKEEPER-242,2012-05-08,2012-05-09,4.0.0,4.1.0,4.1.0,4.0.0,1
BOOKKEEPER-245,2012-05-09,2012-05-10,4.0.0,4.1.0,4.1.0,4.0.0,1
BOOKKEEPER-258,2012-05-14,2012-05-26,4.0.0,4.1.0,4.1.0,4.0.0,1
BOOKKEEPER-260,2012-05-15,2012-05-25,4.0.0,4.1.0,4.1.0,4.0.0,1
BOOKKEEPER-274,2012-05-30,2012-06-12,4.0.0,4.1.0,4.1.0,4.0.0;4.1.0,1
BOOKKEEPER-279,2012-05-31,2012-06-05,4.0.0,4.1.0,4.1.0,4.0.0,1
BOOKKEEPER-281,2012-06-01,2012-06-05,4.0.0,4.1.0,4.1.0,4.0.0,1
BOOKKEEPER-287,2012-06-05,2012-06-06,4.0.0,4.1.0,4.1.0,4.0.0,1
BOOKKEEPER-288,2012-06-07,2012-06-07,4.0.0,4.1.0,4.1.0,4.0.0,1
BOOKKEEPER-292,2012-06-11,2012-06-19,4.1.0,4.1.0,4.1.1,4.1.0,1
BOOKKEEPER-291,2012-06-11,2012-12-03,4.0.0,4.1.0,4.1.1,4.0.0;4.1.0,1
BOOKKEEPER-298,2012-06-14,2012-06-18,4.1.0,4.1.1,4.1.1,4.1.0,1
BOOKKEEPER-296,2012-06-14,2012-08-17,4.0.0,4.1.1,4.1.1,4.0.0;4.1.0,1
BOOKKEEPER-303,2012-06-20,2012-06-27,4.1.0,4.1.1,4.1.1,4.1.0,1
BOOKKEEPER-302,2012-06-20,2012-06-28,4.1.0,4.1.1,4.1.1,4.1.0,1
BOOKKEEPER-307,2012-06-21,2012-06-27,4.1.0,4.1.1,4.1.1,4.1.0,1
BOOKKEEPER-322,2012-06-27,2012-06-28,4.1.0,4.1.1,4.1.1,4.1.0,1
BOOKKEEPER-324,2012-07-03,2012-07-04,4.1.0,4.1.1,4.1.1,4.1.0,1
BOOKKEEPER-326,2012-07-04,2012-08-13,4.1.0,4.1.1,4.1.1,4.1.0,1
BOOKKEEPER-327,2012-07-05,2012-07-24,4.0.0,4.1.1,4.1.1,4.0.0;4.1.0;4.1.0,1
BOOKKEEPER-329,2012-07-09,2012-07-11,4.0.0,4.1.1,4.1.1,4.0.0;4.1.0;4.1.0,1
BOOKKEEPER-330,2012-07-09,2012-07-26,4.0.0,4.1.1,4.1.1,4.0.0;4.1.0;4.1.0,1
BOOKKEEPER-336,2012-07-10,2012-12-13,4.1.0,4.1.1,4.1.1,4.1.0,3
BOOKKEEPER-337,2012-07-11,2012-08-28,4.0.0,4.1.1,4.1.1,4.0.0;4.1.0,1
BOOKKEEPER-338,2012-07-12,2012-08-17,4.0.0,4.1.1,4.1.1,4.0.0;4.1.0,1
BOOKKEEPER-343,2012-07-16,2012-08-03,4.1.0,4.1.1,4.1.1,4.1.0,1
BOOKKEEPER-349,2012-07-23,2012-07-26,4.1.0,4.1.1,4.1.1,4.1.0,1
BOOKKEEPER-355,2012-08-08,2013-01-07,4.1.0,4.1.1,4.1.1,4.1.0;4.2.0,1
BOOKKEEPER-365,2012-08-14,2012-12-13,4.0.0,4.1.1,4.1.1,4.0.0;4.1.0;4.1.0,1
BOOKKEEPER-372,2012-08-17,2012-08-17,4.0.0,4.1.1,4.1.1,4.0.0;4.1.0,1
BOOKKEEPER-371,2012-08-17,2012-08-28,4.0.0,4.1.1,4.1.1,4.0.0;4.1.0,1
BOOKKEEPER-382,2012-08-25,2012-08-27,4.0.0,4.1.1,4.1.1,4.0.0;4.1.0;4.1.0,1
BOOKKEEPER-381,2012-08-25,2012-08-27,4.0.0,4.1.1,4.1.1,4.0.0;4.1.0,1
BOOKKEEPER-383,2012-08-27,2012-09-07,4.1.0,4.1.1,4.1.1,4.1.0,1
BOOKKEEPER-387,2012-09-04,2012-09-07,4.1.0,4.1.1,4.1.1,4.1.0,1
BOOKKEEPER-392,2012-09-04,2012-09-13,4.0.0,4.1.1,4.1.1,4.0.0;4.1.0,1
BOOKKEEPER-395,2012-09-06,2012-09-07,4.0.0,4.1.1,4.1.1,4.0.0;4.1.0,1
BOOKKEEPER-396,2012-09-07,2012-09-11,4.1.0,4.1.1,4.1.1,4.1.0,1
BOOKKEEPER-404,2012-09-13,2012-12-13,4.0.0,4.1.1,4.1.1,4.0.0;4.1.0,1
BOOKKEEPER-408,2012-09-17,2012-12-13,4.1.0,4.1.1,4.1.1,4.1.0,1
BOOKKEEPER-413,2012-10-01,2012-10-10,4.0.0,4.1.1,4.1.1,4.0.0;4.1.0,1
BOOKKEEPER-415,2012-10-04,2012-10-10,4.0.0,4.1.1,4.1.1,4.0.0;4.1.0,1
BOOKKEEPER-424,2012-10-07,2012-10-25,4.0.0,4.1.1,4.1.1,4.0.0;4.1.0;4.1.0,2
BOOKKEEPER-425,2012-10-09,2012-10-26,4.0.0,4.1.1,4.1.1,4.0.0;4.1.0,1
BOOKKEEPER-434,2012-10-15,2012-10-31,4.0.0,4.1.1,4.1.1,4.0.0;4.1.0,1
BOOKKEEPER-436,2012-10-16,2012-10-16,4.0.0,4.1.1,4.1.1,4.0.0;4.1.0,1
BOOKKEEPER-439,2012-10-19,2012-10-26,4.1.0,4.1.1,4.1.1,4.1.0;4.2.0,1
BOOKKEEPER-442,2012-10-25,2012-12-03,4.1.0,4.1.1,4.1.1,4.1.0;4.2.0,1
BOOKKEEPER-454,2012-11-02,2012-11-22,4.0.0,4.1.1,4.1.1,4.0.0;4.1.0,1
BOOKKEEPER-457,2012-11-06,2012-11-29,4.1.0,4.1.1,4.1.1,4.1.0,1
BOOKKEEPER-458,2012-11-06,2012-12-13,4.0.0,4.1.1,4.1.1,4.0.0;4.1.0,1
BOOKKEEPER-461,2012-11-11,2012-12-04,4.0.0,4.1.1,4.1.1,4.0.0;4.1.0,1
BOOKKEEPER-468,2012-11-19,2012-11-21,4.0.0,4.1.1,4.1.1,4.0.0;4.1.0,1
BOOKKEEPER-466,2012-11-19,2012-11-21,4.0.0,4.1.1,4.1.1,4.0.0;4.1.0,1
BOOKKEEPER-467,2012-11-19,2012-11-23,4.0.0,4.1.1,4.1.1,4.0.0;4.1.0,1
BOOKKEEPER-471,2012-11-19,2012-11-27,4.0.0,4.1.1,4.1.1,4.0.0;4.1.0,1
BOOKKEEPER-470,2012-11-19,2012-12-04,4.0.0,4.1.1,4.1.1,4.0.0;4.1.0,1
BOOKKEEPER-469,2012-11-19,2012-12-10,4.0.0,4.1.1,4.1.1,4.0.0;4.1.0,1
BOOKKEEPER-475,2012-11-21,2012-12-04,4.0.0,4.1.1,4.1.1,4.0.0;4.1.0,1
BOOKKEEPER-474,2012-11-21,2012-12-08,4.0.0,4.1.1,4.1.1,4.0.0;4.1.0,1
BOOKKEEPER-477,2012-11-23,2012-11-27,4.0.0,4.1.1,4.1.1,4.0.0;4.1.0,1
BOOKKEEPER-479,2012-11-27,2012-11-27,4.0.0,4.1.1,4.1.1,4.0.0;4.1.0,1
BOOKKEEPER-481,2012-11-27,2012-11-30,4.0.0,4.1.1,4.1.1,4.0.0;4.1.0,1
BOOKKEEPER-480,2012-11-27,2012-11-30,4.0.0,4.1.1,4.1.1,4.0.0;4.1.0,1
BOOKKEEPER-485,2012-11-27,2012-12-01,4.0.0,4.1.1,4.1.1,4.0.0;4.1.0,1
