ID,Size,PredictedProbability,ActualValue
88,1,0.010413907510082287,NO
89,0,7.509483893705088E-68,NO
90,2,6.0273832044643875E-68,NO
91,0,0.010715694981980543,NO
92,1,0.011366085492451392,NO
93,1,0.011366085492451392,NO
94,3,0.01080565609110976,NO
95,8,1.45201882353073E-65,NO
96,3,0.011965698267176098,NO
97,1,0.010413907510082287,NO
98,1,0.022253817335246426,NO
99,0,0.011559138073179334,NO
100,1,0.010413907510082287,NO
101,1,1.957231484831169E-66,NO
102,4,0.012167053276697357,NO
103,2,0.011364844013514909,NO
104,3,0.012106425386623064,NO
105,42,1.0,NO
106,9,0.07111038635172268,NO
107,1,0.011366085492451392,NO
108,1,0.011233866346565072,NO
109,1,0.011233866346565072,NO
110,4,0.026536398638079366,NO
111,1,0.010413907510082287,NO
112,1,0.010413907510082287,NO
113,0,0.011695140285319545,NO
114,4,0.013123218826657203,NO
115,6,0.048943224038849896,NO
116,1,0.011366085492451392,NO
117,0,0.006442330810185896,NO
118,1,1.1017425004516303E-67,NO
119,0,0.008237000071409838,NO
120,4,1.0550268718631968E-67,NO
121,1,0.011366085492451392,NO
122,1,0.010413907510082287,NO
123,0,0.008237000071409838,NO
124,0,0.010715694981980543,NO
125,1,0.010413907510082287,NO
126,4,0.012167053276697357,NO
127,3,0.0688851967528288,NO
128,0,0.012095803211672735,NO
129,8,0.044428886196027695,NO
130,1,0.011233866346565072,NO
131,3,0.011965698267176098,NO
132,0,0.010715694981980543,NO
133,1,0.011366085492451392,NO
134,0,0.010715694981980543,NO
135,0,0.009878141966174838,NO
136,0,0.010715694981980543,NO
137,7,0.09066264935053542,NO
138,7,1.658622759897838E-67,NO
139,3,0.017629585751086176,NO
140,1,0.010413907510082287,NO
141,11,9.945600579062012E-66,NO
142,6,0.02822787359706226,NO
143,1,0.01078622611238628,NO
144,10,0.12144701794798424,NO
145,6,0.018041402771212068,NO
146,3,0.01172092069558131,NO
147,0,0.01109868209715289,NO
148,1,0.011233866346565072,NO
149,0,7.509483893705088E-68,NO
150,3,0.011965698267176098,NO
151,1,0.011233866346565072,NO
152,15,0.8069937261274897,NO
153,1,0.011366085492451392,NO
154,1,0.010413907510082287,NO
155,1,0.011366085492451392,NO
156,10,8.840394962726546E-66,NO
157,1,0.048707268238696554,NO
158,0,0.010715694981980543,NO
159,9,0.14805450511734403,NO
160,13,1.9139582626970568E-66,NO
161,29,1.465481769306852E-55,NO
162,0,0.011559138073179334,NO
163,0,0.01109868209715289,NO
164,1,0.010413907510082287,NO
165,8,0.056410847318394595,NO
166,2,0.074335652785229,NO
167,1,0.010413907510082287,NO
168,18,0.9995633008542859,NO
