ID,Size,PredictedProbability,ActualValue
398,5,0.04065885149359546,NO
399,5,0.08335034425793944,NO
400,10,0.3045810698637213,NO
401,0,0.04056521896426115,NO
402,1,0.039709160409312744,NO
403,12,0.8306558085450705,NO
404,1,0.039709160409312744,NO
405,1,0.039709160409312744,NO
406,3,0.04485193903187079,NO
407,8,0.18235737904984992,NO
408,16,0.9937595316368355,NO
409,1,0.039709160409312744,NO
410,12,0.5347495618688457,NO
411,1,0.03818667518835511,NO
412,31,0.9999999890336224,NO
413,1,0.0711881456273474,NO
414,1,0.039709160409312744,NO
415,5,0.23140368441975742,NO
416,11,0.8222849062126882,NO
417,2,0.0536545494529144,NO
418,1,0.039709160409312744,NO
419,0,0.039027348646458196,NO
420,2,0.08954365298672998,NO
421,8,0.3751197448016718,NO
422,4,0.17329481777558303,NO
423,7,0.1322521397976653,NO
424,4,0.06737608081263469,NO
425,15,0.8135807669640889,NO
426,1,0.039709160409312744,NO
427,0,0.03954420626165282,NO
428,1,0.9890910956513402,NO
429,15,0.7459277276008635,NO
430,1,0.03552149159782882,NO
431,1,0.039709160409312744,NO
432,1,0.039709160409312744,NO
433,1,0.9999999987628875,NO
434,0,0.06765865348347726,NO
435,9,0.9998500612080417,NO
436,1,0.039709160409312744,NO
437,0,0.03954420626165282,NO
438,16,1.0,NO
439,1,0.03818667518835511,NO
440,1,0.039709160409312744,NO
441,1,0.039709160409312744,NO
442,2,0.039174066696517476,NO
443,1,0.039709160409312744,NO
444,6,0.08276839315775833,NO
445,1,0.039709160409312744,NO
446,3,0.04314113328595775,NO
447,50,1.0,NO
448,1,0.039709160409312744,NO
449,14,0.9999904983507683,NO
450,4,0.059462222535434275,NO
451,1,0.039709160409312744,NO
452,2,0.039174066696517476,NO
453,6,0.1026338598373373,YES
454,0,0.03490896883812741,NO
455,1,0.03818667518835511,NO
456,1,0.039709160409312744,NO
457,2,0.124075125440199,NO
458,8,0.13855776830016925,NO
459,1,0.03818667518835511,NO
460,1,0.06295809696683043,NO
461,0,0.039027348646458196,NO
462,4,0.5461156372950671,NO
463,0,0.039027348646458196,NO
464,0,0.03490896883812741,NO
465,3,0.06129732096787041,NO
466,6,0.2309398162063568,NO
467,0,0.03954420626165282,NO
468,6,0.06319530714667264,NO
469,0,0.04789546642899881,NO
470,7,0.1322521397976653,NO
471,6,0.1232797853197218,NO
472,12,0.9999895459821915,NO
473,5,0.08927197396441548,NO
474,6,0.06330631764691205,NO
475,9,0.2868799419842135,NO
476,3,0.05405607724827142,NO
477,4,0.07744642845461529,NO
478,21,0.9999999999999408,NO
479,1,0.03195011587712272,NO
480,2,0.040734251518331994,NO
