ID,Size,PredictedProbability,ActualValue
66,25,5.056634304207119E-5,NO
67,1,0.4189723347152089,NO
68,4,3.8900818473220675E-6,NO
69,4,5.056634304207119E-5,NO
70,0,2.5284450063211126E-5,NO
71,13,2.5284450063211126E-5,NO
72,1,0.4189723347152089,NO
73,58,5.056634304207119E-5,NO
74,9,5.0570945980115505E-6,NO
75,6,1.2642544691395483E-5,NO
76,14,5.056634304207119E-5,NO
77,4,4.2142526023009816E-6,NO
78,0,5.056634304207119E-5,NO
79,1,3.6122208656326084E-6,NO
80,2,9.194793540105851E-7,NO
81,1,0.07692636853079389,NO
82,1,0.23444979289296894,NO
83,1,0.009259718841689947,NO
84,1,0.4189723347152089,NO
85,6,2.5284450063211126E-5,NO
86,6,0.09091285238787032,NO
87,1,0.23444979289296894,NO
88,1,0.4189723347152089,NO
89,12,5.056634304207119E-5,NO
90,19,2.5284450063211126E-5,NO
91,4,3.1606961117116433E-6,NO
92,0,1.1493486641120477E-6,NO
93,1,0.4189723347152089,NO
94,0,1.5232362067153392E-7,NO
95,1,0.3896104137773258,NO
96,1,0.3896104137773258,NO
97,3,1.0114086900234647E-5,NO
98,9,0.9999494336569579,NO
99,3,0.8597013839365776,NO
100,1,0.4189723347152089,NO
101,1,0.07692636853079389,NO
102,1,1.6856584181781405E-5,NO
103,0,0.004629861588795243,NO
104,1,0.4189723347152089,NO
105,4,7.436967977903281E-7,NO
106,2,0.08490605645105116,NO
107,3,1.873009926952613E-6,NO
108,42,2.5284450063211126E-5,NO
109,9,1.2642544691395483E-5,NO
110,1,0.3896104137773258,NO
111,1,0.23444979289296894,NO
112,1,0.23444979289296894,NO
113,1,0.4189723347152089,NO
114,4,0.4285717725932919,NO
115,1,0.4189723347152089,NO
116,0,2.593406730201674E-7,NO
117,4,1.4448946093871912E-6,NO
118,6,1.0114086900234647E-5,NO
119,0,5.0570945980115505E-6,NO
120,1,0.3896104137773258,NO
121,1,0.4189723347152089,NO
122,1,2.5284450063211126E-5,NO
123,0,8.571418775521399E-7,NO
124,4,4.2142526023009816E-6,NO
125,1,0.4189723347152089,NO
126,0,8.571418775521399E-7,NO
127,0,1.5232362067153392E-7,NO
128,4,7.436967977903281E-7,NO
129,3,2.5284450063211126E-5,NO
130,1,0.4189723347152089,NO
131,1,0.3896104137773258,NO
132,0,7.780212119703231E-7,NO
133,8,2.408153042942185E-6,NO
134,3,0.8597013839365776,NO
135,1,0.23444979289296894,NO
136,0,1.5232362067153392E-7,NO
137,0,1.5232362067153392E-7,NO
138,1,0.3896104137773258,NO
139,7,7.224389539083947E-6,NO
140,0,6.927587315310522E-7,NO
141,2,9.194793540105851E-7,NO
142,0,1.5232362067153392E-7,NO
143,7,3.6122208656326084E-6,NO
144,3,7.224389539083947E-6,NO
145,1,0.4189723347152089,NO
146,11,2.5284450063211126E-5,NO
147,6,6.321352263676245E-6,NO
148,1,0.009259718841689947,NO
149,10,2.5284450063211126E-5,NO
150,6,2.298692044226835E-6,NO
151,0,3.8604136201569176E-7,NO
152,3,0.08823651902819796,NO
153,1,0.23444979289296894,NO
154,0,1.1493486641120477E-6,NO
155,3,0.8597013839365776,NO
156,1,0.23444979289296894,NO
157,13,2.5284450063211126E-5,NO
158,15,1.6856584181781405E-5,NO
159,1,0.3896104137773258,NO
160,1,0.4189723347152089,NO
161,1,0.3896104137773258,NO
162,10,2.5284450063211126E-5,NO
163,9,0.2500063212723457,NO
164,1,3.6122208656326084E-6,NO
165,0,1.5232362067153392E-7,NO
166,4,1.6856584181781405E-5,NO
167,29,5.056634304207119E-5,NO
168,0,0.004629861588795243,NO
169,13,5.056634304207119E-5,NO
170,0,3.8604136201569176E-7,NO
171,1,0.4189723347152089,NO
