@relation BOOKKEEPER-Training-2

@attribute LOC numeric
@attribute NumParameters numeric
@attribute NumAuthors numeric
@attribute NumRevisions numeric
@attribute TotalStmtAdded numeric
@attribute TotalStmtDeleted numeric
@attribute NumBranches numeric
@attribute NestingDepth numeric
@attribute NumLocalVariables numeric
@attribute NumCodeSmells numeric
@attribute MaxChurn numeric
@attribute AvgChurn numeric
@attribute IsBuggy {no,yes}

@data
3,2,1,1,3,0,0,0,0,0,3,3,no
1,1,1,1,1,0,0,0,0,0,1,1,no
5,1,1,1,5,0,1,1,1,0,5,5,no
13,0,1,2,13,0,4,2,3,0,12,6.5,no
33,2,2,2,33,0,8,3,8,0,24,16.5,no
1,1,1,1,1,0,0,0,0,0,1,1,no
1,0,1,1,1,0,0,0,0,0,1,1,no
1,0,2,2,1,0,0,0,0,0,1,0.5,no
2,0,1,1,2,0,0,0,0,0,2,2,no
48,5,2,6,48,0,10,2,1,0,37,8,no
4,2,1,1,4,0,1,1,0,0,4,4,no
5,3,1,1,5,0,1,1,0,0,5,5,no
3,0,2,3,3,0,1,1,2,0,2,1,yes
24,5,1,1,24,0,6,3,3,0,24,24,no
2,0,1,1,2,0,0,0,0,0,2,2,no
22,4,2,3,22,0,3,2,2,0,15,7.333333,no
6,3,1,1,6,0,1,1,0,0,6,6,no
5,4,1,1,5,0,1,1,0,0,5,5,no
4,2,1,1,4,0,0,0,1,0,4,4,no
1,0,1,1,1,0,0,0,0,0,1,1,no
1,0,1,1,1,0,0,0,0,0,1,1,no
1,3,1,1,1,0,0,0,0,0,1,1,no
2,0,1,1,2,0,0,0,0,0,2,2,no
1,1,1,1,1,0,0,0,0,0,1,1,yes
2,2,2,2,2,0,1,1,1,0,1,1,no
13,1,1,1,13,0,5,2,1,0,13,13,yes
4,1,1,1,4,0,1,1,2,0,4,4,yes
21,5,2,2,21,0,6,2,2,0,14,10.5,yes
2,1,1,1,2,0,0,0,0,0,2,2,yes
14,0,1,1,14,0,3,2,4,0,14,14,yes
6,3,2,2,6,0,1,1,1,0,6,3,yes
5,3,1,1,5,0,0,0,2,0,5,5,no
20,5,1,1,20,0,5,2,2,0,20,20,yes
1,1,1,1,1,0,0,0,0,0,1,1,yes
1,0,1,1,1,0,0,0,0,0,1,1,no
1,0,1,1,1,0,0,0,0,0,1,1,no
1,0,1,1,1,0,0,0,0,0,1,1,no
2,0,1,2,2,0,1,1,1,0,2,1,yes
21,5,1,3,21,0,6,3,2,0,18,7,yes
0,0,1,1,0,0,0,0,0,0,0,0,no
1,2,1,1,1,0,0,0,0,0,1,1,no
1,1,1,1,1,0,0,0,0,0,1,1,no
2,3,1,1,2,0,0,0,0,0,2,2,no
1,3,1,1,1,0,0,0,0,0,1,1,no
2,5,1,1,2,0,0,0,0,0,2,2,yes
1,2,1,1,1,0,0,0,0,0,1,1,no
2,2,1,1,2,0,1,1,1,0,2,2,no
13,1,1,1,13,0,5,3,2,0,13,13,no
2,0,1,1,2,0,0,0,0,0,2,2,no
2,0,1,1,2,0,0,0,0,0,2,2,no
5,1,1,1,5,0,2,2,1,0,5,5,no
1,0,1,1,1,0,0,0,0,0,1,1,no
1,1,1,1,1,0,0,0,0,0,1,1,no
1,0,1,1,1,0,0,0,0,0,1,1,no
1,1,1,1,1,0,0,0,0,0,1,1,no
1,0,1,1,1,0,0,0,0,0,1,1,no
1,1,1,1,1,0,0,0,0,0,1,1,no
1,0,1,1,1,0,0,0,0,0,1,1,no
2,1,1,1,2,0,0,0,1,0,2,2,no
1,1,1,1,1,0,0,0,0,0,1,1,no
1,1,1,1,1,0,0,0,0,0,1,1,no
1,0,1,1,1,0,0,0,0,0,1,1,no
1,1,1,1,1,0,0,0,0,0,1,1,no
1,0,1,1,1,0,0,0,0,0,1,1,no
1,0,1,1,1,0,0,0,0,0,1,1,no
2,1,1,2,2,0,0,0,0,0,2,1,no
1,0,1,1,1,0,0,0,0,0,1,1,no
2,1,1,2,2,0,0,0,0,0,2,1,no
1,0,1,1,1,0,0,0,0,0,1,1,no
2,1,1,2,2,0,0,0,0,0,2,1,no
1,0,1,1,1,0,0,0,0,0,1,1,no
2,1,1,2,2,0,0,0,0,0,2,1,no
1,0,1,1,1,0,0,0,0,0,1,1,yes
2,1,1,2,2,0,0,0,0,0,2,1,no
1,0,1,1,1,0,0,0,0,0,1,1,no
2,1,1,3,2,0,0,0,0,0,2,0.666667,no
1,0,1,1,1,0,0,0,0,0,1,1,no
2,1,1,2,2,0,0,0,0,0,2,1,no
1,0,1,1,1,0,0,0,0,0,1,1,no
2,1,1,2,2,0,0,0,0,0,2,1,no
1,0,1,1,1,0,0,0,0,0,1,1,no
2,1,1,2,2,0,0,0,0,0,2,1,no
1,0,1,1,1,0,0,0,0,0,1,1,no
1,0,1,1,1,0,0,0,0,0,1,1,no
1,0,1,1,1,0,0,0,0,0,1,1,no
1,0,1,1,1,0,0,0,0,0,1,1,no
1,0,1,1,1,0,0,0,0,0,1,1,no
2,1,1,2,2,0,0,0,0,0,2,1,no
1,0,1,1,1,0,0,0,0,0,1,1,no
2,1,1,2,2,0,0,0,0,0,2,1,no
1,0,1,1,1,0,0,0,0,0,1,1,no
2,1,1,2,2,0,0,0,0,0,2,1,no
1,0,1,1,1,0,0,0,0,0,1,1,no
2,1,1,2,2,0,0,0,0,0,2,1,no
4,0,1,1,4,0,1,1,1,0,4,4,no
4,0,1,1,4,0,1,1,1,0,4,4,yes
4,1,1,2,4,0,1,1,0,0,4,2,yes
7,0,1,1,7,0,2,1,3,0,7,7,no
1,0,1,1,1,0,0,0,0,0,1,1,no
2,1,1,2,2,0,0,0,0,0,2,1,no
1,0,1,1,1,0,0,0,0,0,1,1,yes
2,1,1,2,2,0,0,0,0,0,2,1,no
1,0,1,1,1,0,0,0,0,0,1,1,no
2,1,1,3,2,0,0,0,0,0,2,0.666667,no
11,2,1,1,11,0,2,1,0,0,11,11,no
7,3,1,1,7,0,2,1,0,0,7,7,no
20,2,1,1,20,0,5,3,2,0,20,20,no
16,4,1,1,16,0,5,3,2,0,16,16,no
17,1,1,1,17,0,3,1,1,0,17,17,yes
5,2,1,1,11,0,1,1,0,0,11,11,no
15,6,1,1,15,0,4,1,2,0,15,15,no
3,1,1,1,3,0,1,1,0,0,3,3,yes
0,0,1,1,0,0,0,0,0,0,0,0,no
9,1,1,1,9,0,1,1,1,0,9,9,no
4,4,1,1,4,0,1,1,0,0,4,4,yes
3,1,1,1,3,0,0,0,1,0,3,3,no
7,1,1,1,7,0,1,2,2,0,7,7,no
1,5,1,1,1,0,0,0,0,0,1,1,no
1,2,1,1,1,0,0,0,0,0,1,1,no
1,1,1,1,1,0,0,0,0,0,1,1,no
1,1,1,1,1,0,0,0,0,0,1,1,no
11,1,1,1,11,0,3,2,2,0,11,11,yes
4,3,1,1,4,0,2,2,1,0,4,4,no
5,0,1,1,5,0,1,2,0,0,5,5,no
38,1,1,1,38,0,5,2,3,0,38,38,no
34,4,1,1,4,0,5,2,3,0,4,4,yes
9,0,1,1,1,0,2,2,0,0,1,1,no
5,3,1,1,14,0,2,2,0,0,14,14,no
7,1,1,1,7,0,1,2,2,0,7,7,no
4,1,1,1,4,0,0,0,2,0,4,4,no
8,1,1,1,8,0,2,1,2,0,8,8,no
7,1,1,1,7,0,2,2,2,0,7,7,no
1,2,1,1,1,0,0,0,0,0,1,1,no
1,2,1,1,1,0,0,0,0,0,1,1,no
14,5,1,1,14,0,1,1,2,0,14,14,no
10,2,1,1,2,0,1,1,2,0,2,2,no
18,6,1,1,18,0,2,1,1,0,18,18,no
6,4,1,1,6,0,1,1,1,0,6,6,no
1,2,1,1,1,0,0,0,0,0,1,1,no
1,1,1,1,1,0,0,0,0,0,1,1,no
1,1,1,1,1,0,0,0,0,0,1,1,no
13,1,1,1,13,0,5,4,4,0,13,13,yes
11,3,1,1,11,0,1,1,6,0,11,11,no
4,3,1,1,4,0,2,2,1,0,4,4,no
25,6,1,1,25,0,3,1,7,0,25,25,no
11,2,1,1,11,0,2,3,3,0,11,11,no
1,0,1,1,1,0,0,0,0,0,1,1,no
1,0,1,1,1,0,0,0,0,0,1,1,no
2,2,1,1,2,0,0,0,1,0,2,2,no
5,0,1,1,5,0,1,1,1,0,5,5,no
18,1,1,1,18,0,5,2,6,0,18,18,no
6,1,1,1,6,0,2,1,1,0,6,6,no
3,0,1,1,3,0,0,0,1,0,3,3,no
0,1,1,1,0,0,0,0,0,0,0,0,no
0,1,1,1,0,0,0,0,0,0,0,0,no
0,1,1,1,0,0,0,0,0,0,0,0,no
0,5,1,1,0,0,0,0,0,0,0,0,no
0,2,1,1,0,0,0,0,0,0,0,0,no
0,1,1,1,0,0,0,0,0,0,0,0,no
0,1,1,1,0,0,0,0,0,0,0,0,no
0,1,1,1,0,0,0,0,0,0,0,0,no
0,1,1,1,0,0,0,0,0,0,0,0,no
0,0,1,1,0,0,0,0,0,0,0,0,no
28,2,1,1,28,0,10,4,4,0,28,28,no
7,1,2,3,9,2,2,2,2,0,7,3.666667,yes
9,8,1,1,9,0,1,1,1,0,9,9,yes
4,2,2,2,4,0,1,1,0,0,4,2,yes
9,6,1,1,9,0,1,1,1,0,9,9,no
2,0,1,1,2,0,1,1,1,0,2,2,yes
2,0,1,1,2,0,0,0,0,0,2,2,no
2,0,1,1,2,0,0,0,0,0,2,2,no
2,1,1,1,2,0,1,1,0,0,2,2,no
1,0,1,1,1,0,0,0,0,0,1,1,no
24,1,2,3,24,0,3,1,10,0,24,8,no
4,5,1,1,4,0,1,1,1,0,4,4,no
4,0,1,1,4,0,1,1,0,0,4,4,no
9,1,1,1,9,0,1,1,3,0,9,9,no
1,0,1,1,1,0,0,0,0,0,1,1,no
1,0,1,1,1,0,0,0,0,0,1,1,no
1,0,1,1,1,0,0,0,0,0,1,1,no
4,0,2,3,4,0,0,0,0,0,2,1.333333,yes
4,0,2,2,4,0,1,2,0,0,4,2,yes
5,0,1,2,5,0,1,1,0,0,3,2.5,yes
1,0,1,1,1,0,0,0,0,0,1,1,no
1,0,1,1,1,0,0,0,0,0,1,1,no
1,0,1,1,1,0,0,0,0,0,1,1,no
1,0,1,1,1,0,0,0,0,0,1,1,no
10,0,2,3,11,6,4,4,0,0,11,5.666667,yes
2,0,1,1,2,0,0,0,1,0,2,2,no
9,2,1,1,9,0,2,2,0,0,9,9,no
25,1,1,1,25,0,5,3,6,0,25,25,no
29,1,2,3,29,0,4,2,6,0,18,9.666667,yes
71,2,2,4,94,23,19,4,8,0,77,29.25,yes
7,5,1,1,7,0,0,0,1,0,7,7,no
10,5,2,2,10,0,1,1,2,0,10,5,yes
0,5,1,1,0,0,0,0,0,0,0,0,no
0,2,1,1,0,0,0,0,0,0,0,0,no
0,5,1,1,0,0,0,0,0,0,0,0,no
5,0,1,1,5,0,2,2,0,0,5,5,no
4,3,1,1,4,0,1,1,0,0,4,4,no
0,2,1,1,0,0,0,0,0,0,0,0,no
0,2,1,1,0,0,0,0,0,0,0,0,no
1,0,1,1,1,0,0,0,0,0,1,1,no
2,1,1,1,2,0,0,0,0,0,2,2,no
1,0,1,1,1,0,0,0,0,0,1,1,no
24,0,2,2,24,0,5,5,7,0,24,12,yes
8,0,1,1,8,0,2,3,2,0,8,8,no
9,0,1,1,9,0,2,2,0,0,9,9,no
56,1,1,1,56,0,17,5,6,0,56,56,no
2,0,1,1,2,0,0,0,0,0,2,2,no
1,0,1,1,1,0,0,0,0,0,1,1,no
4,0,1,1,4,0,2,2,1,0,4,4,no
4,1,1,1,4,0,1,1,1,0,4,4,no
1,0,1,1,1,0,0,0,0,0,1,1,no
1,0,1,1,5,0,0,0,0,0,5,5,no
3,0,1,1,3,0,1,1,0,0,3,3,no
