Project,Iteration,Classifier,FeatureSelection,Sampling,CostSensitive,Precision,Recall,AUC,Kappa,F1-Score
SYNCOPE,11,NaiveBayes,none,none,SensitiveThreshold,0.048,0.265,0.733,0.062,0.081
SYNCOPE,11,IBk,none,none,SensitiveThreshold,0.352,0.653,0.884,0.449,0.457
SYNCOPE,12,RandomForest,none,none,none,0.962,0.463,0.822,0.622,0.625
SYNCOPE,12,NaiveBayes,none,none,none,0.053,0.222,0.748,0.067,0.086
SYNCOPE,12,IBk,none,none,none,0.857,0.444,0.860,0.582,0.585
SYNCOPE,12,RandomForest,BestFirst,none,none,1.000,0.296,0.791,0.454,0.457
SYNCOPE,12,NaiveBayes,BestFirst,none,none,0.063,0.222,0.750,0.080,0.098
SYNCOPE,12,IBk,BestFirst,none,none,1.000,0.296,0.777,0.454,0.457
SYNCOPE,12,RandomForest,none,SMOTE,none,0.315,0.648,0.838,0.414,0.424
SYNCOPE,12,NaiveBayes,none,SMOTE,none,0.040,0.278,0.751,0.048,0.069
SYNCOPE,12,IBk,none,SMOTE,none,0.302,0.648,0.860,0.401,0.412
SYNCOPE,12,RandomForest,none,none,SensitiveThreshold,0.347,0.630,0.837,0.438,0.447
SYNCOPE,12,NaiveBayes,none,none,SensitiveThreshold,0.048,0.241,0.748,0.060,0.080
SYNCOPE,12,IBk,none,none,SensitiveThreshold,0.330,0.630,0.860,0.423,0.433
SYNCOPE,13,RandomForest,none,none,none,0.417,0.169,0.649,0.235,0.241
SYNCOPE,13,NaiveBayes,none,none,none,0.091,0.356,0.801,0.126,0.145
SYNCOPE,13,IBk,none,none,none,0.476,0.169,0.643,0.244,0.250
SYNCOPE,13,RandomForest,BestFirst,none,none,0.357,0.085,0.537,0.132,0.137
SYNCOPE,13,NaiveBayes,BestFirst,none,none,0.089,0.254,0.792,0.113,0.132
SYNCOPE,13,IBk,BestFirst,none,none,0.800,0.068,0.516,0.123,0.125
SYNCOPE,13,RandomForest,none,SMOTE,none,0.179,0.288,0.588,0.207,0.221
SYNCOPE,13,NaiveBayes,none,SMOTE,none,0.058,0.373,0.792,0.078,0.100
SYNCOPE,13,IBk,none,SMOTE,none,0.155,0.288,0.641,0.186,0.201
SYNCOPE,13,RandomForest,none,none,SensitiveThreshold,0.200,0.288,0.612,0.223,0.236
SYNCOPE,13,NaiveBayes,none,none,SensitiveThreshold,0.081,0.373,0.801,0.112,0.133
SYNCOPE,13,IBk,none,none,SensitiveThreshold,0.212,0.305,0.643,0.237,0.250
SYNCOPE,14,RandomForest,none,none,none,0.846,0.096,0.605,0.169,0.173
SYNCOPE,14,NaiveBayes,none,none,none,0.165,0.368,0.764,0.198,0.228
SYNCOPE,14,IBk,none,none,none,0.458,0.096,0.619,0.152,0.159
SYNCOPE,14,RandomForest,BestFirst,none,none,0.875,0.061,0.603,0.112,0.115
SYNCOPE,14,NaiveBayes,BestFirst,none,none,0.177,0.351,0.782,0.207,0.235
SYNCOPE,14,IBk,BestFirst,none,none,0.381,0.070,0.602,0.111,0.119
