Project,Iteration,Classifier,FeatureSelection,Sampling,CostSensitive,Precision,Recall,AUC,Kappa,F1-Score,MCC
SYNCOPE,12,IBk,BestFirst (backward),none,none,0.913,0.389,0.827,0.542,0.545,0.593
SYNCOPE,12,RandomForest,none,SMOTE,none,0.327,0.648,0.830,0.425,0.435,0.451
SYNCOPE,12,NaiveBayes,none,SMOTE,none,0.046,0.278,0.754,0.058,0.079,0.085
SYNCOPE,12,IBk,none,SMOTE,none,0.313,0.648,0.860,0.411,0.422,0.440
SYNCOPE,12,RandomForest,none,none,SensitiveThreshold,0.393,0.611,0.839,0.470,0.478,0.482
SYNCOPE,12,NaiveBayes,none,none,SensitiveThreshold,0.052,0.241,0.752,0.066,0.086,0.088
SYNCOPE,12,IBk,none,none,SensitiveThreshold,0.343,0.630,0.860,0.435,0.444,0.456
SYNCOPE,13,RandomForest,none,none,none,0.480,0.203,0.629,0.280,0.286,0.306
SYNCOPE,13,NaiveBayes,none,none,none,0.085,0.339,0.790,0.116,0.136,0.147
SYNCOPE,13,IBk,none,none,none,0.500,0.186,0.632,0.266,0.272,0.300
SYNCOPE,13,RandomForest,BestFirst (backward),none,none,0.471,0.136,0.618,0.206,0.211,0.247
SYNCOPE,13,NaiveBayes,BestFirst (backward),none,none,0.081,0.254,0.741,0.103,0.122,0.122
SYNCOPE,13,IBk,BestFirst (backward),none,none,0.778,0.119,0.592,0.203,0.206,0.301
SYNCOPE,13,RandomForest,none,SMOTE,none,0.185,0.288,0.597,0.212,0.225,0.217
SYNCOPE,13,NaiveBayes,none,SMOTE,none,0.066,0.373,0.793,0.091,0.113,0.130
SYNCOPE,13,IBk,none,SMOTE,none,0.163,0.288,0.624,0.194,0.209,0.202
SYNCOPE,13,RandomForest,none,none,SensitiveThreshold,0.213,0.271,0.620,0.227,0.239,0.228
SYNCOPE,13,NaiveBayes,none,none,SensitiveThreshold,0.082,0.373,0.790,0.114,0.134,0.151
SYNCOPE,13,IBk,none,none,SensitiveThreshold,0.219,0.271,0.632,0.230,0.242,0.232
